title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Sorrow Songs,Carrie Williams Clifford,Clifford,"Oh, haunting melodies of grief and pain;
Oh, heart-wrung agonies distilled in song;
Oh, moving minors—weird, pathetic strain;
Oh, trembling cries forced by the cruel thong
Of Hate! Oh whisperings of hope and faith,
Breathing fidelity to Unseen Love,
From bleeding, bruised souls lashed to the earth;
Oh, soft appealing moans, potent to move
Upon the calloused hearts of world-worn men;
Sweet voices of my brothers from the past
Dark night of slavery, dread era when
These little ones were in its power held fast;
Sad Sorrow Songs, you yet shall come to be
Brave shouts of victory from Souls set free!
",June,1927,The Crisis,W.E.B. Du Bois,Sonnet,female,Slavery,,New York,Predom. Black,https://en.wikipedia.org/wiki/Carrie_Williams_Clifford
The New Year,Carrie Williams Clifford,Clifford,"The New Year comes--fling wide, fling wide the door
Of Opportunity! the spirit free
To scale the utmost heights of hopes to be,
To rest on peaks ne'er reached by man before!
The boundless infinite let us explore,
To search out undiscovered mystery,
Undreamed of in our poor philosophy!
The bounty of the gods upon us pour!
Nay, in the New Year we shall be as gods:
No longer apish puppets or dull clods
Of clay; but poised, empowered to command,
Upon the Etna of New Worlds we'll stand--
This scant earth-raiment to the winds will cast--
Full richly robed as supermen at last!
",April,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,female,,Widening Light,New York,Predom. Black,https://en.wikipedia.org/wiki/Carrie_Williams_Clifford
Spring,Carrie Williams Clifford,Clifford,"Spring, thou wilful, changeful maid,
Venturesome, yet half afraid
   King Winter to defy!
Come, with all thy airs and graces,
Perfumes sweet and flower-laces;
When thy beauty rare he faces, 
   He of love will die. 
",July,1915,The Crisis,W.E.B. Du Bois,Sestain,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Carrie_Williams_Clifford
The Cup of Knowledge,Charles Bertram Johnson,Johnson,"They brought me, tempting - red, Life's richest wine,
The mad thirst four hundred years did create,
My soul was maddened with desire to sate,
At one draught, deep-drawn, vital and divine;
I lifted with passionate haste and nigh,
The Cup of Knowledge to my famished lips,
Like hungry flames unchecked in stubble dry,
Athrough my veins red riot to the tips.
The æons that my soul, like smothered flames,
Burned with fierce ardor wild and was restrained,
My soul in silence cherished mighty aims,
And longed to tread in fields then unattained;
At last enfreed I stood in manhood's peace
Full conscious of my soul's divine release.",January,1905,Colored American,Fred R. Moore,Sonnet,male,Progress and Racial Uplift,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
A Shell,Charles Bertram Johnson,Johnson,"Nay, once I have not seen the sea, nor know,
By long familiar ear, her varying mood,
And passionate swell , but here upon this rood,
I found this gypsy bard of hers and, lo!
Close -fitted to my ear, in gratitude,
It murmurs of its far-off parent flow.
O, wander Sprite! what Viking fortitude
Left thee, stranded waif, achance wind's blow?
I am a Shell, far from my native shore;
Unlike thee, gypsy bard, my long exile
Has made my native speech remembered vain;
Here self-communing thou and conning o'er
With insane ecstacy thy ancient style,
The while another's tongue relates my pain.",February,1905,Colored American,Walter W. Wallace,Sonnet,male,Travel-Migration-Great Migration,,Boston,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Easter,Charles Bertram Johnson,Johnson,"Everywhere
In water, air,
Thy Spirit is;
Rose-faced days
Deep in April,
With the flaring
Purple blaze 
Of willows,
And maple buds,
Pent to bursting,
Now unbosom.
O sing it,
Robin-throated morn!
Loud ring it,
Lily-bells aborn!
Here! Everywhere!
Joyous Easter!
Thou hast come
Plain to see;
With Life for some,
But Truth for me. 
",April,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free verse,male,Religion,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Race Dreams,Charles Bertram Johnson,Johnson,"The chance here to be nobler men--
Filled with the conacious breath of God--
Whether free in the city's dine,
Or delving wisely in the sod. 
",December,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,"Religion, Race",,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
An Old Ex-Slave,Charles Bertram Johnson,Johnson,"All day long upon his porch he sits, 
And lives in dreams his life again,
The cabin frolics, banjo songs,
Like shadows pass before his ken.
He dwells apart in that far clime:
The border-land of human lives,
Where men live only in their dreams,
And faith in God alone survives.",July,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,"Slavery, Religion",,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Rain-Mist,Charles Bertram Johnson,Johnson,"All day within an upturned glass
Of mist and clouds, the ghostly rains
Streak down and listless winds that pass,
Like vapor chilld on window panes.
Gray threads of color blurred and purled,
And streaming pencils tapering white,--
The autumn mood is on the world,
And I am helpless in its might. 
",October,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Snow,Charles Bertram Johnson,Johnson,"All day the clouds 
  Grow cold and fall,
And soft the white fleece shrouds
  Field, hill and wall;
And now I know
  Why comes the snow:
The bare black places lie
  Too near the sky.
",December,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
True Wealth,Charles Bertram Johnson,Johnson,"What though no castles grand
In somber grandeur stand
Entitled with my name;
What though uncrowned by fame
I sing in humble state;
I don't bemoan my fate:
The April-haunted lea
Is wealth enough for me. 
",April,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Octave,male,,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Old Friends,Charles Bertram Johnson,Johnson,"Sit here before my grate, 
Until it's ashen gray,
Or till the night grows late,
And talk the time away.

I cannot think to sleep,
And miss your golden speech,
My bed of dreams will keep--
You here within my reach.

I have so much to say,
The time is short at best,
A bit of toil and play,
And after that comes rest.

But you and I know now
The wisdom of the soul,
The years that seamed the brow
Have made our visions whole.

Sit here before my grate,
Until the ash is cold;
The things you say of late
Are fine as shriven gold.
",September,1921,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Mocking Bird,Charles Bertram Johnson,Johnson,"Lyrist of the solemn hour,
Day's onfall brings thy power
With a deluge of delight
All enravishing the night. 
",May,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Old Things,Charles Bertram Johnson,Johnson,"I love old faces mellow wise,
That smile; their young-od laughing eyes
Undimmed, still view, in sheer pretense
Of youth, their own sweet innocence.

I love old hands that trembling bless
Youth's wild impetuous duress;
That find in childhood's tangled cares,
Life's answers to unuttered prayers.

Old things to me are dear and best;
Old faith--that after life is rest;
That somehow, from above our will,
God works His gracious marvels still. 
",March,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,male,,,New York,Predom. Black,https://poets.org/poet/charles-bertram-johnson
Afro-American,Charles Frederick White,White,"O, country, 'tis of thee,
Land of the Lynching Bee,
   Of thee I sing.
How long will this base wrong
Pollute thy freedom's song?
Perpetrated by a throng
   Of heartless fiends.
My native country, thee,
How I long to be free!
   Thy name to love.
I long to se ethe time
When this most heinous crime
Will be changed to deeds divine,
   Like those above.
Let wailings swell the breeze,
And ring from all the trees:
   ""God's will be done.""
Let mortal souls awake--
Let all that breathe partake--
This spell of crimes to break,
   Ere the nation's gone.
O gracious God, to thee,
In thine all-wise mercy,
   We now appeal!
May this land soon be brought
Out of this doome it's wrought;
For long, in vain, we've sought
   Freedom to feel. ",September,1900,Colored American ,Walter W. Wallace,,male,"Lynching and Racialized Violence, Patriotism, Racism",,Boston,Predom. Black,https://scalar.lehigh.edu/african-american-poetry-a-digital-anthology/charles-frederick-white-author-page
We Who Are Dark,Clara Burrill Bruce,Bruce,"We who are dark
And know the lash
On bodies worn,
Insensate made
Through years of wrong;
That feel no more
The scourge, the whip--
We who are dark
And know the hurt
Of pitiless scorn
On souls that live
And feel the dart
And thrust of wrong;
The greedy glance
Of sinful lust--
We who are dark
And know the urge
Of blinding rage
And fury red,
that eats and burns;
the ache of hands
Pressed on by hearts
On vengeance bent--
We've won your praise
That side by side
With those who taught
Us all our woes
We bravely march
Nor backward glance,
Not hesitant,
Nor slow, but with
Quickening treat
Old wrongs, old sores
Forgotten lie;
Brothers-in-arms,
As we march forth
To Victory,
Bearing aloft
To foreign lands
A freedom sweet
That's not our own. 
",December,1918,The Crisis,W.E.B. Du Bois,Free Verse,female,"Racism, Progress and Racial Uplift, World War I",,New York,Predom. Black,https://www.bu.edu/law/record/articles/2020/clara-burrill-bruce-barriers-that-bend-but-dont-break/
The Mask,Clarissa Scott Delaney,Delaney,"So detached and cool she is
No motion e'er betrays
The secret life within her soul,
The anguish of her days.
She seems to look upon the world
With cold ironic eyes,
To spurn emotion's fevered sway,
To scoff at tears and sighs.
But once a woman with a child
Passed by her on the street,
And once she heard from casual lips
A man's name, bitter-sweet.
Such baffled yearning in her eyes,
Such pain upon her face!
I turned aside until the mask
Was slipped once more in place.",October,1926,Palms,Countee Cullen,,female,,Caroling Dusk,"Guadalajara, Mexico",Predom. White,https://en.wikipedia.org/wiki/Clarissa_Scott_Delany
Solace,Clarissa Scott Delany,Delany,"My window opens out into the trees
And in that small space
Of branches and of sky
I see the seasons pass
Behold the tender green
Give way to darker heavier leaves.
The glory of the autumn comes
When steeped in mellow sunlight
The fragile, golden leaves
Against a clear blue sky
Linger in the magic of the afternoon
And then reluctantly break off
And filter down to pave
A street with gold.
Then bare, gray branches
Lift themselves against the
Cold December sky
Sometimes weaving a web
Across the rose and dusk of late sunset
Sometimes against a frail new moon
And one bright star riding
A sky of that dark, living blue
Which comes before the heaviness
Of night descends, or the stars
Have powdered the heavens.
Winds beat against these trees;
The cold, but gentle rain of spring
Touches them lightly
The summer torrents strive
To lash them into a fury
And seek to break them-
But they stand.
My life is fevered
And a restlessness at times
An agony—again a vague
And baffling discontent
Possesses me.
I am thankful for my bit of sky
And trees, and for the shifting
Pageant of the seasons.
Such beauty lays upon the heart
A quiet.
Such eternal change and permanence
Take meaning from all turmoil
And leave serenity
Which knows no pain.",June,1925,Opportunity,Charles S. Johnson,Free Verse,female,Prize-winning,Caroling Dusk,New York,Predom. Black,https://en.wikipedia.org/wiki/Clarissa_Scott_Delany
To the White Fiends,Claude McKay,McKay,"Think ye I am not fiend and savage too?
Think ye I could not arm me with a gun
And shoot down ten of you for every one
Of my black brothers murdered, burnt by you?
Be not deceived, for every deed ye do
I could match--out-match: am I not Afric's son,
Black of that black where black deeds are done?
But the Almighty from the darkness drew
My soul and said: Even thou shalt be a light
Awhile to burn on the benighted earth,
Thy dusky face I set among the white
For thee to prove thyself of highest worth;
Before the world is swallowed up in night,
To show thy little lamp; go forth! go forth!",September ,1918,Pearson's,,Sonnet,male,Lynching and Racialized Violence,The Liberator,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Invocation,Claude McKay,McKay,"Ancestral Spirit, hidden from my sight
By modern Time's unnumbered works and ways
On which in awe and wonderment I gaze,
Where hid'st thou in the deepness of the night?
What evil powers thy healing presence blight?
Thou who from out the dark and dust didst raise
The Ethiop standard in the curtained days,
Before the white God said: Let there be light!
Bring ancient music to my modern heart,
Let fall the light upon my sable face
That once gleamed on the Ethiopian's art;
Lift me to thee out of this alien place
So I may be, thine exiled counterpart,
The worthy singer of my world and race.",October,1917,Seven Arts,James Oppenheim,Sonnet,male,Africa,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Harlem Dancer,Claude McKay,McKay,"Applauding youths laughed with young prostitutes
And watched her perfect, half-clothed body sway;
Her voice was like the sound of blended flutes
Blown by black players upon a picnic day.
She sang and danced on gracefully and calm,
The light gauze hanging loose about her form;
To me she seemed a proudly-swaying palm
Grown lovelier for passing through a storm.
Upon her swarthy neck black shiny curls
Luxuriant fell; and tossing coins in praise,
The wine-flushed, bold-eyed boys, and even the girls,
Devoured her shape with eager, passionate gaze;
But looking at her falsely-smiling face,
I knew her self was not in that strange place.",October,1917,Seven Arts,James Oppenheim,Sonnet,male,"Dance, Harlem, Black Beauty, Queer-Homoerotic",Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
White Houses,Claude McKay,McKay,"Your door is shut against my tightened face,
And I am sharp as steel with discontent;
But I possess the courage and the grace
To bear my anger proudly and unbent.
The pavement slabs burn loose beneath my feet,
A chafing savage, down the decent street,
And passion rends my vitals as I pass,
Where boldly shines your shuttered door of glass.
Oh I must search for wisdom every hour,
Deep in my wrathful bosom sore and raw,
And find in it the superhuman power
To hold me to the letter of your law!
Oh I must keep my heart inviolate
Against the potent poison of your hate.",March,1925,Survey Graphic,Alain Locke,Sonnet,male,Racism,The New Negro,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Russian Cathedral,Claude Mckay,Mckay,"Bow down my soul in worship very low
And in the holy silences be lost.
Bow down before the marble man of woe,
Bow down before the singing angel host.
What jewelled glory fills my spirit’s eye!
What golden grandeur moves the depths of me!
The soaring arches lift me up on high
Taking my breath with their rare symmetry.
Bow down my soul and let the wondrous light
Of Beauty bathe thee from her lofty throne
Bow down before the wonder of man’s might.
Bow down in worship, humble and alone;
Bow lowly down before the sacred sight
Of man’s divinity alive in stone.",March,1925,Survey Graphic,Alain Locke,Sonnet,male,"Religion, Travel-Migration-Great Migration","The New Negro, Caroling Dusk",New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Subway Wind,Claude McKay,McKay,"Far down, down through the city’s great, gaunt gut
The gray train rushing bears the weary wind;
In the packed cars the fans the crowd’s breath cut,
Leaving the sick and heavy air behind.
And pale-cheeked children seek the upper door
To give their summer jackets to the breeze;
Their laugh is swallowed in the deafening roar
Of captive wind that moans for fields and seas;
Seas cooling warm where native schooners drift
Through sleepy waters, while gulls wheel and sweep,
Waiting for windy waves the keels to lift
Lightly among the islands of the deep;
Islands of lofty palm trees blooming white
That lend their perfume to the tropic sea,
Where fields lie idle in the dew drenched night,
And the Trades float above them fresh and free.",March,1925,Survey Graphic,Alain Locke,,male,Travel-Migration-Great Migration,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Like a Strong Tree,Claude McKay,McKay,"Like a strong tree that in the virgin earth
Sends far its roots through rock and loam and clay,
And proudly thrives in rain or time of dearth,
When the dry waves scare rainy sprites away;
Like a strong tree that reaches down, deep, deep,
For sunken water, fluid underground,
Where the great-ringed unsightly blind worms creep,
And queer things of the nether world abound:
So would I live in rich imperial growth,
Touching the surface and the depth of things,
Instinctively responsive unto both,
Tasting the sweets of being and the stings,
Sensing the subtle spell of changing forms,
Like a strong tree against a thousand storms.",March,1925,Survey Graphic,Alain Locke,Sonnet,male,,The New Negro,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
In the Hospital,Claude McKay,McKay,"After the nights like days, the days like nights,
Crowded with movement, filled and overflowing,
Whirling like circling birds in aimless flights,
Dipping round gilded dome and steepled heights,
Blessed is being here and without knowing
Or caring of the city’s ways and sights.
With peace dearer than love within my breast,
Blessed is being here behind the curtain,
Blessed to know the meaning of real rest,
Where even thought can at its virile best
Be sweet, yet no less militant and certain
Than a fierce eagle folded in its nest.

Far from the petty troubles of the street,
And little men who mouth their little woe,
Blessed is being in this strange retreat,
Blessed the sleepy hours so long and sweet,
That fold me in from life my friend and foe,
With kindly bands about my hands and feet.

Like music blown through tropical corn sheaves,
Blessed the foreign tongue that soothes and charms,
Like golden drops of rain from thick-thatched eaves,
That fall into uplifted tania leaves,
Blessed disease, the bitter scourge, that warms
My chastened spirit that here new hope receives.
",February,1927,The Crisis,W.E.B. Du Bois,Free Verse,male,Carribean,,New York,Predom. Black,https://en.wikipedia.org/wiki/Claude_McKay
The International Spirit,Claude McKay,McKay,"As flower dust is driven down the wind
To touch and quicken the green life of earth,
As birds spread wings and leave cold lands ‘behind,
For regions of sweet warmth and singing mirth:
So shall thy thought be carried surely forth
To the remotest dwellings of mankind,
Reaching its inmost self to give new birth,
New strength, new purpose to man’s boundless mind.

The birds of time shall wing thee down the ways
Of man’s abode. Thy progress will be keen
Against the heavy mist of stormy days,
As ever progress through the years has been.
Even as strong-winged messengers are seen,
In these amazing times with fine amaze,
Threading the tides of space that roll between
The earth and heavens that ever hold man’s gaze.

The nations will be stricken at thy word,
And grand old prejudices crumble down,
That ancient pride in warring breasts has stirred.
The noblest men shall work for any renown.
Thy truest heralds do not fear the frown
Of legioned bigots leagued by fear and spurred
To crush thy truth, but more the shouting clown,
The standard-flocking of the sheeplike herd.
",June,1928,The Crisis,W.E.B. Du Bois,,male,Progress and Racial Uplift,,New York,Predom. Black,https://en.wikipedia.org/wiki/Claude_McKay
A Daughter of the American Revolution to Her Son ,Claude McKay,McKay,"I'm happy that you graduated high,
It stirs my pride to see what you could do
In these times, when our ways are all awry
And threatened by the vulgar parvenu.
Our noble name is linked with all the good
New England yielded from her sterling worth,
To make our country great and understood
Among the greater nations of the earth.
Our line is of a sturdy English breed,
That sought an alien land for human rights;
We always have insisted on the need
Of viewing life from our own lofty heights.
Only your great grandfather once went wrong,
Becoming radical in slavery days,
When party strife the country cleaved for long
And petty agitators strove for praise.
Remember to forget your great grand-father,
Sometimes you worry me with traits like his,
Shun sentimental liberals, but rather
Uphold the law and give to charities.",March,1926,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Slavery,,New York,Predom. Black,https://en.wikipedia.org/wiki/Claude_McKay
The Void,Claude McKay,McKay,"He crouches strangely in the little bed
And earnestly stares blankly into space,
Reason forever more from him has fled,
A child's mind settles sadly on his face.

The classic loveliness of plain white walls,
The shadows softening the long, low ceiling,
Against the low dull lights at evening fall,
Impart to the sick room a holy feeling.

Maybe no hand once trembled with desire,
Sheer love of form, to touch that ugly brow,
But here disease-transformed, scourged by the fire, 
Beauty the loftiest has touched it now. 
",June,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Quatrain,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Claude_McKay
Africa,Claude McKay,McKay,"The sun sought thy dim bed and brought forth light,
The sciences were sucklings at thy breast;
When all the world was young in pregnant night
Thy slaves toiled at thy monumental best.
Thou ancient treasure-land, thou modern prize,
New peoples marvel at thy pyramids!
The years roll on, thy sphinx of riddle eyes
Watches the mad world with immobile lids.
The Hebrews humbled them at Pharaoh’s name.
Cradle of Power! Yet all things were in vain!
Honor and Glory, Arrogance and Fame!
They went. The darkness swallowed thee again.
Thou art the harlot, now thy time is done,
Of all the mighty nations of the sun.",August ,1921,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,Africa,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
After the Winters,Claude McKay,McKay,"Some day, when trees have shed their leaves,
   And against the morning's white
The shivering birds beneath the eaves
   Have sheltered for the night,
We'n turn our faces southward, love,
   Toward the summer isle
Where bamboos spire the shafted grove
   And wide-mouthed orchids smile.
And we will seek the quiet hill
   Where towers the cotton tree,
And leaps the laughing crystal rill,
   And works the droning bee.
And we will build a lonely nest
   Beside an open glade,
And there forever will we rest,
   O love---O nut-brown maid!",July,1919,The Liberator,Max Eastman,,male,"Caribbean, Travel-Migration-Great Migration",,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Subway Wind,Claude McKay,McKay,"Far down, down through the city’s great, gaunt gut
The gray train rushing bears the weary wind;
In the packed cars the fans the crowd’s breath cut,
Leaving the sick and heavy air behind.
And pale-cheeked children seek the upper door
To give their summer jackets to the breeze;
Their laugh is swallowed in the deafening roar
Of captive wind that moans for fields and seas;
Seas cooling warm where native schooners drift
Through sleepy waters, while gulls wheel and sweep,
Waiting for windy waves the keels to lift
Lightly among the islands of the deep;
Islands of lofty palm trees blooming white
That lend their perfume to the tropic sea,
Where fields lie idle in the dew drenched night,
And the Trades float above them fresh and free.",August,1921,The Liberator,"Max Eastman, Claude McKay",,male,"Caribbean, Travel-Migration-Great Migration",Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
A Capitalist at Dinner,Claude McKay,McKay,"An ugly figure, heavy, overfed,
Settles uneasily into a chair;
Nervously he mops his pink bald head,
Frowns at the fawning waiter standing near.
The entire service tries its best to please 
This overpampered piece of broken-health,
Who sits there thoughtless, querulous, obese,
Wrapped in his sordid visions of vast wealth.
Great God! if creatures like this money-fool,
Who hold the service of mankind so cheap,
Over the people must forever rule,
Driving them at their will like helpless sheep—
Then let proud mothers cease from giving birth;
Let human beings perish from the earth.",July,1919,The Liberator,Max Eastman,Sonnet,male,Class,,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Negro Dancers,Claude McKay,McKay,"I
Lit with cheap colored lights a basement den,
With rows of chairs and tables on each side,
And, all about, young, dark-skinned women and men
Drinking and smoking, merry, vacant-eyed.
A Negro band, that scarcely seems awake,
Drones out half-heartedly a lazy tune,
While quick and willing boys their orders take
And hurry to and from the near saloon.
Then suddenly a happy, lilting note
Is struck, the walk and hop and trot begin,
Under the smoke upon foul air afloat;
Around the room the laughing puppets spin
To sound of fiddle, drum and clarinet,
Dancing, their world of shadows to forget.
II
’Tis best to sit and gaze; my heart then dances
To the lithe bodies gliding slowly by,
The amorous and inimitable glances
That subtly pass from roguish eye to eye,
The laughter gay like sounding silver ringing,
That fills the whole wide room from floor to ceiling,—
A rush of rapture to my tried soul bringing—
The deathless spirit of a race revealing.
Not one false step, no note that rings not true!
Unconscious even of the higher worth
Of their great art, they serpent-wise glide through
The syncopated waltz. Dead to the earth
And her unkindly ways of toil and strife,
For them the dance is the true joy of life.
III
And yet they are the outcasts of the earth,
A race oppressed and scorned by ruling man;
How can they thus consent to joy and mirth
Who live beneath a world-eternal ban?
No faith is theirs, no shining ray of hope,
Except the martyr’s faith, the hope that death
Some day will free them from their narrow scope
And once more merge them with the infinite breath.
But, oh! they dance with poetry in their eyes
Whose dreamy loveliness no sorrow dims,
And parted lips and eager, gleeful cries,
And perfect rhythm in their nimble limbs.
The gifts divine are theirs, music and laughter;
All other things, however great, come after.",July,1919,The Liberator,Max Eastman,Sonnet,male,"Dance, Music, Harlem, Racism",The New Negro,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
The Little Peoples,Claude McKay,McKay,"The little peoples of the troubled earth, 
The little nations that are weak and white;---
For them the glory of another birth,
For them the lifting of the veil of night.
The big men of the world in concert met,
Have sent forth in their power a new decree:
Upon the old harsh wrongs the sun must set,
Henceforth the little peoples must be free!
But we, the blacks, less than the trampled dust,
Who walk the new ways with the old dim eyes,---
We to the ancient gods of greed and lust
Must still be offered up as sacrifice:
Oh, we who deign to live but will not dare,
The white world's burden must forever bear!",July,1919,The Liberator,Max Eastman,Sonnet,male,"Empire, Racism",,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
The Barrier,Claude McKay,McKay,"I must not gaze at them although
Your eyes are dawning day;
I must not watch you as you go
Your sun-illumined way;

I hear but I must never heed
The fascinating note,
Which, fluting like a river reed,
Comes from your trembling throat;

I must not see upon your face
Love’s softly glowing spark;
For there’s the barrier of race,
You’re fair and I am dark.",July,1919,The Liberator,Max Eastman,Common Measure,male,Interracial,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Flirtation,Claude McKay,McKay,"Upon thy purple mat thy body bare
Is fine and limber like a tender tree.
The motion of thy supple form is rare,
Like a lithe panther lolling languidly,
Toying and turning slowly in her lair.
Oh, I would never ask for more of thee;
Thou art so clean in passion and so fair.
Enough! if thou wilt ask no more of mel",August,1921,The Liberator,"Max Eastman, Claude McKay",,male,Interracial,,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
In Bondage,Claude McKay,McKay,"I would be wandering in distant fields
Where man, and bird, and beast, lives leisurely,
And the old earth is kind, and ever yields
Her goodly gifts to all her children free;
Where life is fairer, lighter, less demanding,
And boys and girls have time and space for play
Before they come to years of understanding –
Somewhere I would be singing, far away.
For life is greater than the thousand wars
Men wage for it in their insatiate lust,
And will remain like the eternal stars,
When all that shines to-day is drift and dust
But I am bound with you in your mean graves,
O black men, simple slaves of ruthless slaves.",August ,1921,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,Labor,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
The Tired Worker,Claude McKay,McKay,"O whisper, O my soul! The afternoon
Is waning into evening, whisper soft!
Peace, O my rebel heart! for soon the moon
From out its misty veil will swing aloft!
Be patient, weary body, soon the night
Will wrap thee gently in her sable sheet,
And with a leaden sigh thou wilt invite
To rest thy tired hands and aching feet.
The wretched day was theirs, the night is mine;
Come tender sleep, and fold me to thy breast.
But what steals out the gray clouds red like wine?
O dawn! O dreaded dawn! O let me rest
Weary my veins, my brain, my life! Have pity!
No! Once again the harsh, the ugly city.",August,1919,The Liberator,"Max Eastman, Claude McKay",Sonnet,male,Labor,Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Spring in New Hampshire,Claude McKay,McKay,"Too green the springing April grass,
Too blue the silver-speckled sky,
For me to linger here, alas,
While happy winds go laughing by,
Wasting the golden hours indoors,
Washing windows and scrubbing floors.
Too wonderful the April night,
Too faintly sweet the first May flowers,
The stars too gloriously bright,
For me to spend the evening hours,
When fields are fresh and streams are leaping,
Wearied, exhausted, dully sleeping.",August,1919,The Liberator,"Max Eastman, Claude McKay",,male,Labor,Spring in New Hampshire,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
If We Must Die,Claude McKay,McKay,"If we must die, let it not be like hogs
Hunted and penned in an inglorious spot,
While round us bark the mad and hungry dogs,
Making their mock at our accursed lot.
If we must die, O let us nobly die,
So that our precious blood may not be shed
In vain; then even the monsters we defy
Shall be constrained to honor us though dead!
O kinsmen! we must meet the common foe!
Though far outnumbered let us show us brave,
And for their thousand blows deal one death-blow!
What though before us lies the open grave?
Like men we’ll face the murderous, cowardly pack,
Pressed to the wall, dying, but fighting back!",July,1919,The Liberator,Max Eastman,Sonnet,male,Lynching and Racialized Violence,"Harlem Shadows, Workers Dreadnought",New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
Roman Holiday,Claude McKay,McKay,"Tis but a modern Roman holiday;
Each state invokes its soul of basest passion,
​Each vies with each to find the ugliest way
​To torture Negroes in the fiercest fashion.
​Black Southern men, like hogs await your doom!
White wretches hunt and haul you from your huts,
​They squeeze the babies out your women's womb,
​They cut your members off, rip out your guts!
It is a Roman holiday, and worse,
It is the mad beast risen from his lair,
​The dead accusing years' eternal curse.
​Reeking of vengeance, in fulfilment here.
​Bravo, Democracy! Hail greatest Power
That saved sick Europe in her darkest hour!",July,1919,The Liberator,Max Eastman,Sonnet,male,"Lynching and Racialized Violence, World War I",Workers Dreadnought,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
America,Claude McKay,McKay,"Although she feeds me bread of bitterness,
And sinks into my throat her tiger’s tooth,
Stealing my breath of life, I will confess
I love this cultured hell that tests my youth!
Her vigor flows like tides into my blood,
Giving me strength erect against her hate.
Her bigness sweeps my being like a flood.
Yet as a rebel fronts a king in state,
I stand within her walls with not a shred
Of terror, malice, not a word of jeer.
Darkly I gaze into the days ahead,
And see her might and granite wonders there,
Beneath the touch of Time’s unerring hand,
Like priceless treasures sinking in the sand.",December,1921,The Liberator,Max Eastman,Sonnet,male,"Patriotism, Racism",Harlem Shadows,New York,Predom. White,https://en.wikipedia.org/wiki/Claude_McKay
